isbn;name;publish_year;copies;picture;picture_content_type
whoever resit;within daffodil;2024-04-17T12:12:35;12630;../fake-data/blob/hipster.png;image/png
swampXXXXXXXX;titillate while oddly;2024-04-17T10:19:01;21224;../fake-data/blob/hipster.png;image/png
cupboardXXXXX;gosh dread;2024-04-17T13:26:14;18518;../fake-data/blob/hipster.png;image/png
likely boysen;whether gosh;2024-04-17T07:41:27;1246;../fake-data/blob/hipster.png;image/png
playfully fri;why yahoo yowza;2024-04-16T23:15:03;19626;../fake-data/blob/hipster.png;image/png
juicy amid sn;baritone knavishly;2024-04-17T05:36:38;2526;../fake-data/blob/hipster.png;image/png
the phew conq;along;2024-04-17T07:08:19;25198;../fake-data/blob/hipster.png;image/png
discourseXXXX;bogus per;2024-04-17T11:58:15;12708;../fake-data/blob/hipster.png;image/png
intenselyXXXX;physically lasting;2024-04-17T12:55:19;9382;../fake-data/blob/hipster.png;image/png
even determin;er poorly grotesque;2024-04-16T23:07:27;27603;../fake-data/blob/hipster.png;image/png
